id,event_type
6597,11
8011,15
2597,15
5022,15
5022,11
6852,11
6852,15
5611,15
14838,15
14838,11
2588,15
2588,11
4848,11
4848,15
6914,11
6914,15
5337,15
5337,11
10460,15
10460,11
15494,11
15494,15
10289,11
10289,15
8587,11
8587,15
12943,11
12943,15
590,15
16416,15
3399,15
3399,11
1505,15
1505,11
9446,11
9446,15
12482,15
16538,15
16538,11
2250,15
2250,11
5259,15
5259,11
5259,20
12751,15
5195,15
1233,15
1233,11
4703,11
17508,15
17508,11
6008,15
6008,11
2906,15
1247,15
1247,11
17909,11
8148,15
8148,11
17595,15
17595,11
7515,15
7515,11
17041,11
17041,7
17041,15
6692,15
14595,15
15952,11
15952,15
9664,15
3952,15
3952,11
8461,15
6743,15
16097,11
16097,15
1235,11
1235,15
9317,15
9651,15
9651,11
7832,15
7832,11
5280,15
5280,11
282,15
4574,11
4574,15
2043,15
6693,11
6693,15
16479,15
7466,11
7466,15
4814,15
10842,15
10039,15
4337,15
4787,15
16586,15
16586,11
8796,15
8796,11
6954,15
17648,15
1849,15
16949,15
14593,15
12587,11
2240,11
5356,11
1285,34
1285,35
17155,34
17155,20
17155,35
1308,34
1308,35
3251,34
3251,35
9313,35
9313,34
9313,20
14926,34
14926,11
14926,35
17407,34
17407,35
6395,34
6395,35
16600,34
16600,35
137,35
137,34
17255,35
17255,34
8443,34
8443,35
9291,35
9291,34
1821,34
1821,35
13270,34
13270,35
18500,34
8774,35
1243,35
1243,34
6474,35
6474,34
15687,34
15687,35
16351,35
16351,34
5163,34
5163,35
12650,35
7116,35
7116,34
18189,34
18189,35
2653,35
3331,34
3331,35
3375,35
3375,34
16056,34
16056,35
14969,35
14969,34
12825,34
12825,35
6176,35
6176,34
15850,34
15850,35
10825,34
10825,35
16628,35
16628,34
3446,35
3446,34
8716,20
14963,11
12318,11
18076,20
18076,11
11833,20
402,20
1288,20
16595,20
18413,20
9859,20
2578,20
1204,20
4497,20
37,20
3629,20
16795,11
16106,11
8185,11
8235,20
8235,9
8235,11
14315,11
17756,11
14562,11
8930,11
11231,11
17812,11
3112,11
6253,15
187,15
187,11
10816,11
10816,15
2008,11
2008,15
10445,15
10445,11
258,11
258,15
15834,15
12334,15
12334,11
9644,11
9644,15
14743,15
14743,11
6208,15
6208,11
6802,15
14860,15
14860,11
14899,15
14899,11
581,15
10985,15
11010,20
722,11
722,15
1747,15
1747,11
1349,15
11444,15
11444,11
16517,15
16517,11
16202,11
12511,15
12511,11
15171,11
15171,15
3879,15
3879,11
1863,11
1863,15
5142,11
5142,15
6796,11
6796,15
13838,11
13838,15
10913,15
10913,11
6880,11
6880,15
685,15
685,11
10680,15
10680,2
10680,11
13845,15
13845,54
17736,15
10319,15
10970,15
10970,11
13652,15
10161,54
10161,15
725,15
725,11
5074,15
5924,15
5924,11
10516,11
10516,54
6883,15
6883,54
6883,11
5545,15
5545,11
14433,15
14433,11
18058,15
5834,15
5834,11
4630,15
4630,11
4630,1
17414,15
6244,15
6244,11
3158,15
16320,15
3465,15
13490,15
4628,15
4029,15
15057,15
13522,15
5254,11
5254,15
14991,6
14991,11
14991,15
2810,15
5025,15
14112,15
5352,11
5352,15
7049,15
7049,11
17758,1
17758,15
17758,11
11766,15
11766,11
1574,11
1574,15
7237,15
7237,11
10902,15
10902,11
9016,15
13955,15
13955,11
11005,11
11005,15
16584,15
16584,11
8277,15
15081,15
15081,11
18220,11
18220,15
4595,15
1666,15
7585,15
4309,15
16809,15
2385,15
2385,11
16139,15
16139,11
7077,15
11828,15
11828,11
2774,15
11037,15
11464,11
11464,15
15801,15
15801,11
12847,15
4002,11
4002,15
11100,15
10511,15
14706,15
14706,20
14706,11
462,11
462,15
7885,11
7885,1
7885,15
12276,15
10402,11
10402,15
3412,15
6860,15
11114,15
9907,15
4121,15
10493,11
10493,15
11770,15
11770,11
965,11
965,15
18004,15
5928,15
5928,11
7405,11
7405,15
6803,15
8764,15
7925,11
7925,15
12798,15
11394,15
17869,15
10129,15
13354,15
16917,15
17425,11
17425,15
18486,11
18486,15
6909,15
12026,15
16064,15
11119,15
8378,11
8378,15
894,15
6648,15
372,11
372,15
17066,15
821,15
608,15
4535,15
4640,15
18296,15
6904,15
5059,15
15102,15
11286,15
13438,15
13438,11
7851,15
16336,15
17470,15
8388,15
4141,15
4163,15
13077,15
15343,15
6475,15
6475,11
12214,15
6623,15
1551,15
13260,15
12932,15
4556,15
8556,15
14449,15
18376,15
17745,15
17963,1
17963,15
17963,11
10014,15
9879,15
1718,15
13376,15
13376,11
17645,15
2214,15
12194,15
12607,15
378,15
14616,15
1326,15
15085,15
6339,15
4151,15
17950,15
15427,15
200,15
18050,15
3547,15
15192,15
13832,15
2467,15
6369,15
