id,log_feature,volume
6597,68,6
8011,68,7
2597,68,1
5022,172,2
5022,56,1
5022,193,4
5022,71,3
6852,201,2
6852,56,1
6852,80,2
5611,80,2
14838,203,5
14838,82,8
14838,80,9
2588,82,9
2588,201,5
2588,80,15
2588,203,5
4848,56,3
4848,80,16
4848,172,2
4848,201,12
4848,82,2
6914,68,11
5337,201,2
5337,193,11
5337,80,2
5337,71,10
10460,201,4
10460,80,5
15494,56,1
15494,172,2
10289,80,3
10289,201,1
8587,201,3
8587,80,3
12943,111,2
12943,201,75
12943,80,50
590,80,3
590,201,2
16416,68,4
3399,80,2
3399,201,2
1505,201,3
1505,80,11
9446,68,4
9446,193,7
9446,71,4
12482,201,1
12482,80,3
16538,201,12
16538,80,9
16538,82,5
16538,203,7
2250,193,3
2250,71,2
5259,80,1
5259,219,1
5259,134,1
5259,201,2
12751,71,1
12751,82,7
12751,201,5
12751,193,1
12751,203,7
12751,80,5
5195,80,1
5195,82,1
5195,203,1
5195,201,1
1233,80,17
1233,203,18
1233,201,20
1233,82,18
4703,159,1
4703,201,5
4703,193,6
4703,198,6
17508,203,3
17508,82,4
17508,201,3
17508,80,4
6008,56,1
6008,201,2
6008,82,4
6008,80,3
2906,80,1
2906,56,2
2906,82,1
1247,82,2
1247,80,3
1247,201,1
1247,56,1
17909,80,1
8148,111,5
8148,201,1
8148,82,3
8148,80,16
8148,203,1
17595,203,14
17595,201,8
17595,111,1
17595,80,5
17595,82,16
7515,82,2
7515,80,4
7515,201,1
17041,111,2
17041,201,3
17041,80,7
6692,203,1
6692,82,2
6692,80,2
14595,201,1
14595,80,4
14595,82,4
14595,203,2
15952,201,2
15952,82,2
15952,80,2
15952,203,2
9664,198,1
9664,76,1
3952,203,6
3952,201,7
3952,82,4
3952,80,6
8461,80,5
8461,82,3
6743,82,2
6743,80,1
16097,172,1
16097,56,1
1235,82,12
1235,80,2
1235,203,5
1235,201,1
9317,172,1
9317,56,1
9317,80,1
9651,82,3
9651,80,10
7832,80,1
7832,172,1
7832,56,1
7832,82,1
5280,172,2
5280,82,6
5280,203,1
5280,80,4
282,80,3
282,82,2
4574,82,1
4574,80,5
2043,203,1
2043,80,3
2043,82,3
6693,80,2
6693,82,2
16479,80,1
16479,82,1
7466,203,1
7466,82,1
7466,201,2
7466,80,7
4814,82,1
10842,82,3
10842,56,1
10039,80,1
4337,203,1
4337,82,5
4787,80,3
16586,80,1
16586,82,1
8796,203,4
8796,80,3
8796,82,3
8796,201,4
6954,80,2
6954,203,1
6954,201,1
6954,82,2
17648,82,4
1849,82,2
16949,80,1
16949,201,1
14593,82,2
14593,80,2
12587,68,1
2240,167,10
2240,51,10
5356,51,46
5356,167,48
1285,228,3
1285,230,3
1285,308,3
1285,310,4
17155,134,1
17155,228,3
17155,230,3
17155,310,3
17155,301,1
17155,221,1
17155,308,3
17155,219,1
1308,230,1
1308,228,1
1308,310,1
1308,308,1
3251,307,1
3251,312,1
3251,232,1
3251,227,1
9313,301,1
9313,219,1
9313,221,1
9313,134,1
14926,160,1
14926,309,1
14926,229,1
14926,181,1
17407,308,1
17407,312,2
17407,307,1
17407,230,1
17407,228,1
17407,232,1
17407,310,1
6395,312,2
6395,232,2
6395,307,2
6395,227,3
16600,232,1
16600,307,1
16600,312,1
137,232,2
137,227,1
137,312,1
17255,312,2
17255,232,2
17255,307,1
8443,312,1
8443,227,1
8443,307,1
8443,308,1
8443,232,1
8443,309,1
8443,229,1
8443,228,1
9291,312,3
9291,307,1
9291,227,1
9291,232,3
1821,312,3
1821,307,1
1821,232,2
13270,314,2
13270,307,1
13270,313,1
13270,234,1
13270,312,1
13270,309,1
18500,227,1
18500,232,1
8774,312,1
8774,307,1
1243,307,1
1243,312,2
1243,232,1
6474,232,1
6474,312,1
15687,234,1
15687,314,1
16351,312,2
16351,227,2
16351,232,1
16351,307,1
5163,232,1
5163,307,1
5163,312,2
5163,227,1
12650,312,1
7116,312,1
7116,232,1
7116,227,1
18189,312,1
18189,233,1
18189,307,1
18189,234,1
18189,313,1
18189,314,1
2653,307,2
2653,312,2
3331,232,1
3331,312,3
3331,307,2
3331,227,1
3375,307,2
3375,232,5
3375,312,5
3375,227,3
16056,309,1
16056,312,2
16056,307,1
16056,229,1
14969,232,2
14969,307,14
14969,312,1
14969,227,15
12825,232,7
12825,227,5
12825,312,8
12825,307,7
6176,232,9
6176,312,8
15850,232,13
15850,227,3
15850,307,2
15850,312,13
10825,227,11
10825,307,4
16628,232,29
16628,227,2
16628,312,27
16628,307,19
3446,232,2
3446,227,11
3446,307,14
8716,219,1
14963,68,1
12318,84,1
12318,167,1
12318,51,1
18076,134,1
18076,167,1
18076,84,1
18076,51,1
18076,205,1
18076,219,1
11833,134,1
11833,219,1
402,219,1
402,134,2
1288,219,1
1288,134,1
16595,134,2
16595,219,2
18413,219,1
18413,134,1
9859,134,2
9859,219,1
2578,134,1
2578,219,1
1204,134,2
1204,219,2
4497,134,1
4497,219,1
37,134,1
3629,219,1
3629,134,1
16795,68,1
16106,54,1
16106,170,2
16106,68,1
8185,170,1
8185,54,1
8235,219,1
8235,206,1
8235,15,6
8235,134,2
8235,182,1
8235,170,7
8235,149,6
14315,170,1
17756,54,2
17756,170,2
14562,54,3
14562,170,1
8930,182,1
8930,62,1
11231,182,1
17812,54,4
3112,54,5
3112,170,1
6253,201,6
6253,80,6
187,80,3
10816,201,2
10816,80,5
2008,201,5
2008,80,7
10445,201,2
258,80,2
258,201,5
15834,201,1
15834,80,2
12334,201,11
12334,80,11
9644,201,3
9644,80,3
14743,80,4
14743,201,5
6208,201,10
6208,80,6
6802,80,2
14860,80,2
14860,201,1
14899,201,1
14899,80,3
581,80,1
10985,201,1
10985,80,1
11010,134,1
11010,219,1
722,201,2
722,80,3
1747,201,3
1747,80,2
1349,201,1
1349,80,3
11444,80,6
11444,201,12
16517,80,16
16517,201,21
16202,80,1
16202,201,1
12511,201,2
12511,80,1
15171,201,3
15171,80,4
3879,63,4
3879,183,4
1863,80,5
5142,80,6
5142,201,6
6796,80,6
13838,80,6
13838,201,3
10913,80,2
10913,201,2
6880,201,27
6880,111,2
6880,80,47
685,111,3
685,80,37
685,201,52
10680,2,1
10680,80,5
10680,137,1
10680,201,10
13845,82,2
17736,203,2
17736,82,2
10319,80,1
10319,201,2
10970,201,1
10970,80,1
13652,80,3
10161,80,1
725,80,9
725,201,3
5074,80,4
5924,80,2
10516,183,1
6883,201,1
6883,80,3
5545,201,2
5545,80,7
14433,82,51
14433,203,7
18058,172,1
18058,82,24
18058,203,15
18058,56,1
5834,80,2
5834,201,1
4630,384,2
4630,203,2
4630,71,4
4630,82,4
4630,193,3
4630,299,2
17414,80,1
17414,203,6
17414,82,21
6244,203,1
6244,80,9
6244,201,2
6244,82,16
3158,82,23
3158,203,10
16320,203,6
16320,82,12
3465,82,36
3465,203,28
13490,82,8
13490,203,6
4628,71,3
4628,193,3
4628,203,6
4628,82,6
4029,203,9
4029,82,15
4029,80,1
15057,82,40
15057,203,4
13522,203,4
13522,82,10
5254,82,4
5254,201,4
5254,203,4
5254,80,3
14991,80,12
14991,82,18
14991,203,4
14991,201,4
2810,82,8
2810,203,2
5025,82,8
5025,203,4
5025,193,1
5025,71,1
14112,71,3
14112,203,4
14112,193,2
14112,82,10
5352,82,8
5352,203,9
7049,80,4
7049,82,14
7049,201,3
7049,203,10
17758,384,1
17758,299,1
17758,82,2
11766,203,23
11766,201,5
11766,82,26
11766,80,4
1574,203,3
1574,201,2
1574,80,2
1574,82,10
7237,82,10
7237,203,8
10902,82,8
10902,203,6
9016,203,18
9016,82,20
13955,80,6
13955,203,23
13955,82,55
13955,201,5
11005,201,2
11005,80,1
11005,82,26
11005,203,7
16584,203,20
16584,80,2
16584,82,52
16584,201,2
8277,82,22
8277,203,14
15081,82,16
15081,203,13
15081,80,3
15081,201,5
18220,203,19
18220,80,2
18220,201,2
18220,82,27
4595,203,3
4595,82,4
1666,82,1
7585,203,1
7585,82,6
4309,71,1
16809,82,12
16809,203,3
2385,203,4
2385,82,2
16139,82,18
16139,203,10
7077,203,4
7077,82,10
7077,80,3
11828,82,27
11828,203,5
2774,203,3
2774,82,5
11037,80,2
11037,201,2
11037,82,4
11037,203,4
11464,82,6
11464,201,2
11464,80,2
11464,203,4
15801,82,24
15801,203,16
15801,80,3
12847,82,11
12847,203,7
4002,80,11
4002,201,12
4002,82,17
4002,203,11
11100,82,15
11100,203,7
10511,203,29
10511,82,66
14706,219,1
14706,203,6
14706,134,1
14706,82,6
462,71,1
462,80,5
462,193,1
462,82,13
462,203,8
462,201,4
7885,299,3
7885,71,9
7885,82,6
7885,203,2
7885,193,15
7885,384,4
12276,80,2
12276,201,2
12276,82,8
12276,203,5
12276,71,1
10402,203,32
10402,82,66
10402,80,13
10402,201,11
3412,203,10
3412,82,16
6860,203,2
6860,82,4
11114,203,2
11114,82,2
9907,80,1
9907,201,1
9907,82,2
4121,201,1
4121,82,18
4121,80,2
4121,203,6
10493,80,21
10493,82,6
10493,201,21
10493,203,3
11770,82,25
11770,203,5
11770,80,5
11770,201,5
