id,resource_type
6597,8
8011,8
2597,8
5022,8
6852,8
5611,8
14838,8
2588,8
4848,8
6914,8
5337,8
10460,8
15494,8
10289,8
8587,8
12943,8
590,8
16416,8
3399,8
1505,8
9446,8
12482,8
16538,8
2250,8
5259,8
5259,2
12751,8
5195,8
1233,8
4703,8
17508,8
6008,8
2906,8
1247,8
17909,8
8148,8
17595,8
7515,8
17041,8
17041,1
6692,8
14595,8
15952,8
9664,8
3952,8
8461,8
6743,8
16097,8
1235,8
9317,8
9651,8
7832,8
5280,8
282,8
4574,8
2043,8
6693,8
16479,8
7466,8
4814,8
10842,8
10039,8
4337,8
4787,8
16586,8
8796,8
6954,8
17648,8
1849,8
16949,8
14593,8
12587,8
2240,8
5356,8
1285,2
17155,2
1308,2
3251,2
9313,2
14926,2
14926,8
17407,2
6395,2
16600,2
137,2
17255,2
8443,2
9291,2
1821,2
13270,2
18500,2
8774,2
1243,2
6474,2
15687,2
16351,2
5163,2
12650,2
7116,2
18189,2
2653,2
3331,2
3375,2
16056,2
14969,2
12825,2
6176,2
15850,2
10825,2
16628,2
3446,2
8716,2
14963,8
12318,8
18076,2
18076,8
11833,2
402,2
1288,2
16595,2
18413,2
9859,2
2578,2
1204,2
4497,2
37,2
3629,2
16795,8
16106,8
8185,8
8235,2
8235,8
14315,8
17756,8
14562,8
8930,8
11231,8
17812,8
3112,8
6253,8
187,8
10816,8
2008,8
10445,8
258,8
15834,8
12334,8
9644,8
14743,8
6208,8
6802,8
14860,8
14899,8
581,8
10985,8
11010,2
722,8
1747,8
1349,8
11444,8
16517,8
16202,8
12511,8
15171,8
3879,8
1863,8
5142,8
6796,8
13838,8
10913,8
6880,8
685,8
10680,8
13845,2
13845,8
17736,8
10319,8
10970,8
13652,8
10161,2
10161,8
725,8
5074,8
5924,8
10516,2
10516,8
6883,2
6883,8
5545,8
14433,8
18058,8
5834,8
4630,8
17414,8
6244,8
3158,8
16320,8
3465,8
13490,8
4628,8
4029,8
15057,8
13522,8
5254,8
14991,1
14991,8
2810,8
5025,8
14112,8
5352,8
7049,8
17758,8
11766,8
1574,8
7237,8
10902,8
9016,8
13955,8
11005,8
16584,8
8277,8
15081,8
18220,8
4595,8
1666,8
7585,8
4309,8
16809,8
2385,8
16139,8
7077,8
11828,8
2774,8
11037,8
11464,8
15801,8
12847,8
4002,8
11100,8
10511,8
14706,8
14706,2
462,8
7885,8
12276,8
10402,8
3412,8
6860,8
11114,8
9907,8
4121,8
10493,8
11770,8
965,8
18004,8
5928,8
7405,8
6803,8
8764,8
7925,8
12798,8
11394,8
17869,8
10129,8
13354,8
16917,8
17425,8
18486,8
6909,8
12026,8
16064,8
11119,8
8378,8
894,8
6648,8
372,8
17066,8
821,8
608,8
4535,8
4640,8
18296,8
6904,8
5059,8
15102,8
11286,8
13438,8
7851,8
16336,8
17470,8
8388,8
4141,8
4163,8
13077,8
15343,8
6475,8
12214,8
6623,8
1551,8
13260,8
12932,8
4556,8
8556,8
14449,8
18376,8
17745,8
17963,8
10014,8
9879,8
1718,8
13376,8
17645,8
2214,8
12194,8
12607,8
378,8
14616,8
1326,8
15085,8
6339,8
4151,8
17950,8
15427,8
200,8
18050,8
3547,8
15192,8
13832,8
2467,8
6369,8
12887,8
8366,8
2425,8
8106,8
12935,8
4623,8
222,8
9059,8
15381,8
13154,8
665,8
10110,8
1716,8
3951,8
17731,8
16403,8
8501,8
15362,8
9870,8
8831,8
5961,8
9364,8
18490,8
9088,8
2865,8
16514,9
18077,9
14,9
13453,8
12828,8
6359,2
5881,2
13337,2
14986,8
12978,8
1553,8
487,8
5559,8
8037,8
5027,8
15133,8
5068,8
11826,8
7409,8
13614,8
11313,8
8573,8
15618,8
8730,2
2841,8
8263,8
8193,8
5821,8
14864,2
14864,8
7818,8
6636,8
3113,8
15555,8
15974,8
13273,8
10465,8
1491,8
7546,8
8854,8
14462,8
2734,8
6446,8
11239,8
6193,8
3765,8
12944,8
4302,8
16468,8
12624,8
17530,8
7503,8
6457,8
16725,8
5029,2
16681,8
11843,9
11843,8
11843,2
6231,8
15803,9
15803,8
13480,8
11928,8
8963,8
10844,8
13067,8
9769,8
15970,8
6715,8
5206,9
16675,8
5468,9
2854,9
8225,8
15497,8
10940,2
8120,8
15689,1
15689,8
5597,8
4315,8
11976,2
11976,8
268,8
11609,8
15967,6
15967,8
2184,6
2184,8
2184,7
17071,7
13185,8
13185,10
17329,8
17329,10
9509,8
9509,6
587,6
587,8
14586,6
14586,8
3967,6
3967,8
4941,4
4941,8
16781,6
16781,8
15684,2
525,8
525,6
17856,8
17856,6
6932,8
6932,6
9787,8
9787,4
9787,6
4740,6
4053,8
6376,6
6376,8
13330,8
13330,6
8036,6
3895,8
333,8
333,6
16024,4
16024,8
10696,4
10696,8
17505,8
17505,6
4045,6
4045,8
18399,8
18399,6
11874,6
11874,8
17062,6
17062,8
8042,8
11725,8
750,8
7315,8
16339,8
2212,8
7545,8
14767,8
5282,8
12389,8
1380,8
10409,2
10658,8
6144,8
10370,8
17852,8
5032,8
5370,8
12273,8
1998,8
17379,8
252,8
14875,8
6834,8
9158,8
8694,8
7348,8
12661,8
7171,8
4733,8
1931,8
14047,8
611,8
9354,8
15287,8
13403,8
982,8
8581,8
7504,8
17653,8
2741,8
10977,2
8359,8
7385,8
8467,8
11740,8
9778,8
15626,8
3949,8
3663,8
17209,8
400,8
4861,8
805,8
11989,8
748,8
10508,8
5977,8
2090,8
5257,8
8159,8
1135,8
6679,8
6313,8
1231,8
1706,8
16741,8
4629,8
3491,8
9852,8
10293,8
9596,8
5300,8
15871,8
1566,8
4254,8
2652,8
484,8
1588,8
10561,8
7174,8
12209,8
17627,8
3701,2
15517,8
16136,8
9720,8
5184,8
11581,8
6327,8
16645,8
1704,8
4279,8
12527,8
47,8
5617,8
8530,8
11653,8
13920,8
3191,8
6439,8
15350,8
5512,8
16346,8
12308,8
14668,8
16441,8
16562,8
9919,8
12731,8
17525,8
2829,8
13065,8
13888,8
2067,8
17949,8
886,8
18120,8
17434,8
4884,8
7017,8
18407,8
17867,8
17134,8
14131,8
6517,8
10666,8
14592,8
8759,8
7878,8
13792,2
13792,8
17833,8
14360,8
4591,8
16142,8
628,8
893,8
11341,8
6581,8
13606,8
10407,8
17931,8
6564,8
9848,8
9598,8
12282,8
15099,8
11207,8
6160,8
12569,8
10492,8
1126,8
3684,8
11968,8
9372,8
1477,8
14661,8
14997,8
2322,8
7354,8
11981,8
7279,8
386,8
7835,8
12590,8
4092,8
14100,8
9722,8
12495,8
12227,8
5693,8
13688,8
17825,8
11878,8
13552,8
10520,8
10137,8
855,8
17557,8
3667,8
11352,2
11352,8
13408,8
5178,8
7372,8
7372,1
5784,1
5784,8
4047,8
11367,8
17801,8
460,8
12790,8
2999,8
5476,8
17540,8
8880,8
13391,8
12112,8
10676,8
11133,8
1508,8
375,8
12473,8
3692,8
14557,8
17724,8
8673,8
18253,8
595,8
6565,8
17749,8
10783,8
2216,8
15716,8
18116,8
10572,8
8234,8
11189,8
11895,8
4658,8
4674,8
2991,8
6747,8
3052,8
6990,8
5439,8
13612,8
8173,8
6902,8
18176,8
11790,8
15693,8
5320,8
3877,8
13361,8
15072,8
9280,8
3789,8
14664,8
14647,8
9980,8
1382,8
16456,8
13078,8
7360,8
1493,8
5731,8
10329,8
267,8
14087,8
13440,8
11758,8
14439,8
8355,8
11357,8
17017,8
5304,8
10803,8
17568,8
4620,8
12275,8
7146,8
11896,8
10403,8
45,8
9928,8
2091,8
12939,8
16012,8
1368,8
10790,8
9911,8
14907,8
6638,8
10857,8
4470,8
15434,8
7667,8
3327,8
12278,8
6267,8
17581,8
8269,8
7055,2
14032,2
13543,2
13341,2
17440,2
6379,2
7864,2
10047,2
6837,2
8007,2
6931,2
5846,2
11038,2
10687,2
7866,2
3881,2
12143,2
3066,2
6689,2
6387,2
11651,2
3864,2
9441,2
15640,2
13801,2
12836,2
10058,2
14839,2
1810,2
15538,2
4217,2
6838,2
8619,2
5714,2
7137,2
10001,2
5785,2
2162,2
17358,2
13837,2
17034,2
1933,2
12182,2
18421,2
12104,2
3431,2
2437,2
17751,2
3429,2
11150,2
7952,2
10593,2
516,2
17647,2
10956,2
2550,2
14153,2
5081,2
12379,2
1663,2
10627,2
2656,2
4317,2
15568,2
