id,severity_type
6597,2
8011,2
2597,2
5022,1
6852,1
5611,2
14838,1
2588,1
4848,1
6914,1
5337,1
10460,1
15494,1
10289,1
8587,1
12943,1
590,2
16416,2
3399,1
1505,1
9446,1
12482,2
16538,1
2250,1
5259,1
12751,2
5195,2
1233,1
4703,1
17508,1
6008,1
2906,2
1247,1
17909,1
8148,1
17595,1
7515,1
17041,1
6692,2
14595,2
15952,1
9664,2
3952,1
8461,2
6743,2
16097,1
1235,1
9317,2
9651,1
7832,1
5280,1
282,2
4574,1
2043,2
6693,1
16479,2
7466,1
4814,2
10842,2
10039,2
4337,2
4787,2
16586,1
8796,1
6954,2
17648,2
1849,2
16949,2
14593,2
12587,2
2240,1
5356,1
1285,2
17155,1
1308,2
3251,2
9313,1
14926,2
17407,2
6395,2
16600,2
137,2
17255,2
8443,2
9291,2
1821,2
13270,2
18500,2
8774,4
1243,2
6474,2
15687,2
16351,2
5163,2
12650,4
7116,2
18189,2
2653,4
3331,2
3375,2
16056,2
14969,2
12825,2
6176,2
15850,2
10825,2
16628,2
3446,2
8716,1
14963,1
12318,2
18076,1
11833,1
402,1
1288,1
16595,1
18413,1
9859,1
2578,1
1204,1
4497,1
37,1
3629,1
16795,2
16106,1
8185,1
8235,1
14315,1
17756,1
14562,1
8930,1
11231,1
17812,2
3112,2
6253,2
187,1
10816,1
2008,1
10445,1
258,1
15834,2
12334,1
9644,1
14743,1
6208,1
6802,2
14860,1
14899,1
581,2
10985,2
11010,1
722,1
1747,1
1349,2
11444,1
16517,1
16202,1
12511,1
15171,1
3879,1
1863,1
5142,1
6796,1
13838,1
10913,1
6880,1
685,1
10680,1
13845,1
17736,2
10319,2
10970,1
13652,2
10161,1
725,1
5074,2
5924,1
10516,1
6883,1
5545,1
14433,1
18058,2
5834,1
4630,2
17414,2
6244,1
3158,2
16320,2
3465,2
13490,2
4628,2
4029,2
15057,2
13522,2
5254,1
14991,1
2810,2
5025,2
14112,2
5352,1
7049,1
17758,2
11766,1
1574,1
7237,1
10902,1
9016,2
13955,1
11005,1
16584,1
8277,2
15081,1
18220,1
4595,2
1666,2
7585,2
4309,2
16809,2
2385,1
16139,1
7077,2
11828,1
2774,2
11037,2
11464,1
15801,1
12847,2
4002,1
11100,2
10511,2
14706,1
462,1
7885,2
12276,2
10402,1
3412,2
6860,2
11114,2
9907,2
4121,2
10493,1
11770,1
965,1
18004,2
5928,1
7405,1
6803,2
8764,2
7925,1
12798,2
11394,2
17869,2
10129,2
13354,2
16917,2
17425,1
18486,1
6909,2
12026,2
16064,2
11119,2
8378,1
894,2
6648,2
372,1
17066,2
821,2
608,2
4535,2
4640,2
18296,2
6904,2
5059,2
15102,2
11286,2
13438,1
7851,2
16336,2
17470,2
8388,2
4141,2
4163,2
13077,2
15343,2
6475,1
12214,2
6623,2
1551,2
13260,2
12932,2
4556,2
8556,2
14449,2
18376,2
17745,2
17963,2
10014,2
9879,2
1718,2
13376,1
17645,2
2214,2
12194,2
12607,2
378,2
14616,2
1326,2
15085,2
6339,2
4151,2
17950,2
15427,2
200,2
18050,2
3547,2
15192,2
13832,2
2467,2
6369,2
12887,1
8366,2
2425,1
8106,1
12935,2
4623,2
222,2
9059,2
15381,2
13154,1
665,2
10110,2
1716,2
3951,2
17731,2
16403,2
8501,2
15362,2
9870,2
8831,2
5961,2
9364,2
