trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9976028776973818}",25,0,-149.58747750147992,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.3, 'e': 0.9952115015900972}",30,0,-119.35062719999652,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.9928258579038134}",20,0,-136.76033001862314,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.990445932897216}",20,0,-149.60399644234522,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.9880717128619305}",20,0,-13.3822350873624,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.985703184122443}",20,0,-176.59014264364384,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.9833403330360212}",25,0,-185.44304535935976,"{0: 12, 1: 2, 2: 5, 3: 5, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.9809831459926365}",25,3,-1.4843994687638022,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.3, 'e': 0.9786316094148849}",20,0,-90.70451736053728,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.9762857097579093}",25,0,-177.1660397223474,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.3, 'e': 0.9739454335093212}",30,0,-279.38673795445817,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 7}",0
12,False,"{'a': 0.3, 'e': 0.9716107671891228}",25,0,-88.08620794907878,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.9692816973496297}",25,0,-108.63973959663815,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.9669582105753931}",30,0,-186.5791255275342,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
