trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9976028776973818}",25,0,-86.49985910852988,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9952115015900972}",25,0,-74.7595515170181,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.9928258579038134}",25,0,-84.52762802144409,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.990445932897216}",20,0,-81.71695858397244,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.9880717128619305}",25,0,-243.8190788777697,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 4}",0
6,False,"{'a': 0.3, 'e': 0.985703184122443}",20,4,-74.85894146273549,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.3, 'e': 0.9833403330360212}",25,6,-73.40654045418121,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
8,False,"{'a': 0.3, 'e': 0.9809831459926365}",25,0,-149.79281638152014,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.3, 'e': 0.9786316094148849}",20,0,-101.2435173563456,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.9762857097579093}",25,0,-55.323166016600915,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.9739454335093212}",35,0,-190.81788735696003,"{0: 20, 1: 6, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.3, 'e': 0.9716107671891228}",25,0,-141.38397473701963,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.3, 'e': 0.9692816973496297}",25,0,-136.41245921288098,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.9669582105753931}",35,0,-261.20813394179464,"{0: 18, 1: 2, 2: 9, 3: 3, 4: 3}",0
15,False,"{'a': 0.3, 'e': 0.9646402934831231}",25,0,-59.042489068588125,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.3, 'e': 0.9623279327216104}",20,4,-80.94598184671804,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.3, 'e': 0.9600211149716509}",20,0,-124.68846360665904,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.3, 'e': 0.9577198269459679}",30,0,-119.14136685677877,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.3, 'e': 0.955424055389136}",25,0,-65.09105362037108,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.3, 'e': 0.9531337870775047}",25,0,-156.66792439752737,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-181.46491279352801,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",30,0,-273.288033567505,"{0: 14, 1: 1, 2: 10, 3: 1, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",30,0,-136.02069435568464,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-101.26601882525235,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-200.9129459706374,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,0,-179.9650493066846,"{0: 6, 1: 5, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-90.9705143094201,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-91.1940056691179,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-158.55730555616594,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-146.0665142001388,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
